site,population,scheme,block,metadata_field,reported_value,n,ec_min,ec_max,mdl_min,mdl_max,ols_mean_signed_error,ols_mae,ols_rmse,median_mean_signed_error,median_mae,median_rmse,mae_improvement,mae_improvement_pct
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-08-23,5,4.3354716491761,9.60062140677769,0.409759055442694,0.419307645387154,11.937347098094289,11.937347098094289,12.166106547006175,-12.618259807,14.037714964999997,17.293730723240447,2.1003678669057084,14.96232023618175
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-08-11,1,5.98240993054586,5.98240993054586,0.409759055442694,0.409759055442694,-3.278929057329549,3.278929057329549,3.278929057329549,-18.794360935,18.794360935,18.794360935,15.515431877670451,82.55365495709232
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-09-14,7,3.35205161380073,9.22076924427773,0.409759055442694,0.419307645387154,5.749250965955565,5.749250965955565,7.588978622683894,-5.273557182142859,5.657772535000001,8.320334594833625,-0.09147843095556407,-1.6168630037645026
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-09-19,7,6.55506060402848,9.84021969992934,0.413856645997121,0.413856645997121,7.013013215935947,7.013013215935947,8.109574507658886,-19.074636962142865,19.074636962142865,19.585400484136997,12.061623746206918,63.23383123959546
Addis_Ababa,mdl_2x,later_period,2023Q2,ftir_AnalysisDate,2023-11-28,1,5.11957947257968,5.11957947257968,0.409759055442694,0.409759055442694,6.5641710005194085,6.5641710005194085,6.5641710005194085,-4.146288294999998,4.146288294999998,4.146288294999998,-2.4178827055194105,-58.314389485051755
Addis_Ababa,mdl_2x,later_period,2023Q3,ftir_AnalysisDate,2023-11-28,13,3.96715229606112,9.71557571204205,0.409759055442694,0.431100672913667,2.2057399926520143,2.9463424455121126,3.4573167306061827,-10.594346192692315,11.544704692692314,13.539901862619136,8.598362247180201,74.47884095833895
Addis_Ababa,mdl_2x,later_period,2023Q3,ftir_AnalysisDate,2024-02-21,7,3.50194202698363,8.54710506277628,0.414270916914035,0.418459702727119,2.0979057469699307,2.877607373269559,3.8307230932737704,-8.511476615000005,8.511476615000005,10.105380577454744,5.633869241730446,66.1914435833816
Addis_Ababa,mdl_2x,later_period,2023Q3,ftir_AnalysisDate,2024-02-20,8,3.43937872823145,10.5333537907337,0.404947794517731,0.414270916914035,5.057467765056551,6.632593924172906,7.505718471154543,-3.761435485000005,9.155381539999999,12.21174549470443,2.5227876158270925,27.55524283510191
Addis_Ababa,mdl_2x,later_period,2023Q4,ftir_AnalysisDate,2024-02-20,8,2.23594182575397,4.14642906938964,0.404947794517731,0.419307645387154,0.3160978384786297,1.6723697545937704,2.3652642940449127,5.3227073575000015,5.3227073575000015,6.697756629605482,3.650337602906231,68.58046775317631
Addis_Ababa,mdl_2x,later_period,2023Q4,ftir_AnalysisDate,2024-04-19,14,2.47654432859347,3.97699446915086,0.409759055442694,0.414270916914035,1.3970781746184424,3.432467735715029,4.112832342227099,6.414089940714289,6.971944013571431,8.178087440970524,3.539476277856402,50.767422557704656
Addis_Ababa,mdl_2x,later_period,2023Q4,ftir_AnalysisDate,2024-07-24,4,2.90358905097997,3.66620421724724,0.409759055442694,0.409759055442694,1.3094143199805277,1.586549876997788,2.2789245939230836,6.2001981675000035,6.2001981675000035,6.803603594845425,4.613648290502216,74.41130373357882
Addis_Ababa,mdl_2x,later_period,2024Q1,ftir_AnalysisDate,2024-07-24,17,2.48704222244508,6.96258987683994,0.404947794517731,0.431325321518625,3.755642253919,4.931757554096723,6.18306486126563,3.3331937267647085,7.719721499117647,9.573365912440611,2.7879639450209233,36.11482545503207
Addis_Ababa,mdl_2x,later_period,2024Q1,ftir_AnalysisDate,2024-07-25,7,2.72681139406893,5.23333719462994,0.409759055442694,0.414270916914035,1.0239436264029587,3.8353928219046654,5.413935893552448,3.367300526428573,5.400843102142858,6.401564903108209,1.5654502802381924,28.985294529609252
Addis_Ababa,mdl_2x,later_period,2024Q1,ftir_AnalysisDate,2024-08-15,7,2.42463370413565,5.62476422114748,0.409759055442694,0.414270916914035,0.13699011557282045,1.8848589047654067,2.340292023865584,2.768447865000001,5.599319043571429,6.460137110489386,3.7144601388060217,66.33771195928885
Addis_Ababa,mdl_2x,later_period,2024Q2,ftir_AnalysisDate,2024-08-15,7,2.93608135081302,6.25503100441188,0.404947794517731,0.409759055442694,2.299360960175945,5.7663641470944125,6.191550625822074,-1.5388186285714258,6.840534582857144,8.469571885301406,1.0741704357627313,15.703018861342755
Addis_Ababa,mdl_2x,later_period,2024Q2,ftir_AnalysisDate,2024-11-07,7,3.91441145026595,6.85379189359859,0.409759055442694,0.409759055442694,-4.910663285535306,5.219593299784101,6.303524602864581,-10.141397217142854,10.141397217142854,12.30861110780742,4.921803917358753,48.53181284566011
Addis_Ababa,mdl_2x,later_period,2024Q2,ftir_AnalysisDate,2025-03-05,9,4.56833700824436,11.7351130556244,0.409759055442694,0.424033448767542,0.2691968097017323,2.2867290710550545,3.2353258448567033,-15.75126315333333,15.75126315333333,17.246744132545608,13.464534082278275,85.48224958979795
Addis_Ababa,mdl_2x,later_period,2024Q3,ftir_AnalysisDate,2025-03-05,19,3.43072578969257,11.136414801705,0.404947794517731,1.43700224304556,1.892561903944733,5.664238125907318,7.859825552923681,-10.248394838421058,12.031616664736847,15.694884734253044,6.367378538829529,52.92205292320785
Addis_Ababa,mdl_3x,leave_quarter_out,2022Q4,ftir_AnalysisDate,2023-03-27,7,2.54716121453745,4.44446651940708,0.464676223281463,0.477235040126908,-6.478937893078594,6.535815687146821,7.782551182249924,-0.32988223071428685,5.185683683571429,6.792992379428099,-1.3501320035753919,-26.03575701797421
Addis_Ababa,mdl_3x,leave_quarter_out,2022Q4,ftir_AnalysisDate,2023-04-10,2,1.62566803465763,2.2205456700338,0.470389455534924,0.470389455534924,3.5875500443730015,3.5875500443730015,4.478715275847791,15.19077646,15.19077646,15.683607245670967,11.603226415626999,76.38336622344713
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-04-10,9,2.2102943453252,4.42920671041816,0.470389455534924,0.48736741889818,-5.024619415528177,5.024619415528177,6.20848662974188,3.529259346666668,6.04576372,6.557655105312641,1.0211443044718234,16.890245000706436
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-04-11,2,1.99148840812713,2.42256663763913,0.470389455534924,0.481741981744056,-0.08413564412868624,1.1626671140890679,1.1657073495509713,11.281868584999998,11.281868584999998,11.46828866983145,10.11920147091093,89.69437460355714
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-07-13,13,2.31740999208569,5.1807562461787,0.449217327399301,0.454554562972362,-1.3321640762368365,4.348052188836753,5.353848459629513,3.874186396923077,5.706237098461538,7.415167055802596,1.3581849096247849,23.801760883559602
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-08-10,1,6.63401511944448,6.63401511944448,0.409759055442694,0.409759055442694,-7.701800326330918,7.701800326330918,7.701800326330918,-14.753706469999997,14.753706469999997,14.753706469999997,7.051906143669079,47.79752232436193
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-10,7,1.90446116072198,4.13586201342062,0.409759055442694,0.409759055442694,0.42963517497247444,2.452293611650838,3.0126991576760216,6.215081072857144,6.269886092857143,7.914739049744932,3.817592481206305,60.8877485917237
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-23,5,4.3354716491761,9.60062140677769,0.409759055442694,0.419307645387154,2.4934752202811623,3.740546223351946,4.87937685781538,-9.362197231999998,13.004382388,15.083215134110741,9.263836164648055,71.23626396280386
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-11,1,5.98240993054586,5.98240993054586,0.409759055442694,0.409759055442694,-10.185316495994819,10.185316495994819,10.185316495994819,-15.538298359999999,15.538298359999999,15.538298359999999,5.35298186400518,34.45024506534949
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-09-14,7,3.35205161380073,9.22076924427773,0.409759055442694,0.419307645387154,0.1038969442488187,2.0877773156555315,2.737807814299164,-2.017494607142858,4.386359384285714,6.744467874228861,2.2985820686301826,52.40295806278285
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-09-19,7,6.55506060402848,9.84021969992934,0.413856645997121,0.413856645997121,-2.8608875002023524,3.1965220616945516,3.9671711520827446,-15.81857438714286,15.81857438714286,16.430868282840656,12.622052325448308,79.79260340746859
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-11-28,1,5.11957947257968,5.11957947257968,0.409759055442694,0.409759055442694,1.0064900991450187,1.0064900991450187,1.0064900991450187,-0.8902257199999966,0.8902257199999966,0.8902257199999966,-0.11626437914502219,-13.0601011106512
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2023-11-28,13,3.96715229606112,9.71557571204205,0.409759055442694,0.431100672913667,0.8553991883018438,2.0496649533316633,2.77928646229578,-10.547577787692312,11.512326566153849,13.503339156896093,9.462661612822185,82.19591025711811
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2024-02-21,7,3.50194202698363,8.54710506277628,0.414270916914035,0.418459702727119,0.7344606757248359,2.913783222143131,3.3027053217395212,-8.464708210000003,8.464708210000003,10.066020441462907,5.550924987856872,65.5772750831404
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2024-02-20,8,3.43937872823145,10.5333537907337,0.404947794517731,0.414270916914035,3.683312475523633,5.921383486079409,6.640953672140583,-3.7146670800000035,9.155381539999999,12.197421146900377,3.2339980539205895,35.32346565559506
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-02-20,8,2.23594182575397,4.14642906938964,0.404947794517731,0.419307645387154,-0.6473023642267686,2.0513470918059964,2.4040318050636444,6.490926827499998,6.490926827499998,7.6590378857790435,4.439579735694002,68.39669978846334
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-04-19,14,2.47654432859347,3.97699446915086,0.409759055442694,0.414270916914035,0.4333011800158708,3.184544305226165,3.8645063153848445,7.582309410714286,7.892246765,9.123156275346487,4.707702459773835,59.64971192552208
Addis_Ababa,mdl_3x,leave_quarter_out,2023Q4,ftir_AnalysisDate,2024-07-24,4,2.90358905097997,3.66620421724724,0.409759055442694,0.409759055442694,0.3502095737177662,1.3482304296733147,1.8677014273924402,7.3684176375,7.3684176375,7.882901942821836,6.020187207826686,81.70257854533405
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-07-24,17,2.48704222244508,6.96258987683994,0.404947794517731,0.431325321518625,3.6396475094374914,4.90756620185194,6.15006966260362,4.980176391764704,8.319239827058821,10.26359154323801,3.4116736252068813,41.00943951766134
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-07-25,7,2.72681139406893,5.23333719462994,0.409759055442694,0.414270916914035,0.9479517268005202,3.842211780165169,5.386479517368096,5.014283191428569,6.577259291428569,7.401645512807523,2.7350475112634,41.58339195822327
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q1,ftir_AnalysisDate,2024-08-15,7,2.42463370413565,5.62476422114748,0.409759055442694,0.414270916914035,0.06516512282322294,1.9107409131953301,2.3686327763881625,4.4154305299999965,6.051432669999999,7.318817846507395,4.140691756804669,68.42498268768922
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2024-08-15,7,2.93608135081302,6.25503100441188,0.404947794517731,0.409759055442694,2.072699895032854,5.702277401563256,6.140717964946312,-0.5550486835714342,6.981073146428571,8.347081177859957,1.2787957448653149,18.318039620019317
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2024-11-07,7,3.91441145026595,6.85379189359859,0.409759055442694,0.409759055442694,-5.164921076599291,5.411733694817481,6.522915892336471,-9.157627272142863,9.157627272142863,11.511564061536648,3.745893577325382,40.90463027164515
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q2,ftir_AnalysisDate,2025-03-05,9,4.56833700824436,11.7351130556244,0.409759055442694,0.424033448767542,-0.19888467418797656,2.266428427766357,3.127437697411477,-14.76749320833334,14.76749320833334,16.353187698614338,12.501064780566983,84.65258527095577
Addis_Ababa,mdl_3x,leave_quarter_out,2024Q3,ftir_AnalysisDate,2025-03-05,19,3.43072578969257,11.136414801705,0.404947794517731,1.43700224304556,1.892561903944733,5.664238125907318,7.859825552923681,-10.248394838421058,12.031616664736847,15.694884734253044,6.367378538829529,52.92205292320785
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-08-10,7,1.90446116072198,4.13586201342062,0.409759055442694,0.409759055442694,2.98957759389074,3.144649939731815,4.005876449416452,2.9590184978571417,4.273775100714285,5.724652998569515,1.1291251609824697,26.419854446570124
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-08-23,5,4.3354716491761,9.60062140677769,0.409759055442694,0.419307645387154,11.937347098094289,11.937347098094289,12.166106547006175,-12.618259807,14.037714964999997,17.293730723240447,2.1003678669057084,14.96232023618175
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-08-11,1,5.98240993054586,5.98240993054586,0.409759055442694,0.409759055442694,-3.278929057329549,3.278929057329549,3.278929057329549,-18.794360935,18.794360935,18.794360935,15.515431877670451,82.55365495709232
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-09-14,7,3.35205161380073,9.22076924427773,0.409759055442694,0.419307645387154,5.749250965955565,5.749250965955565,7.588978622683894,-5.273557182142859,5.657772535000001,8.320334594833625,-0.09147843095556407,-1.6168630037645026
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-09-19,7,6.55506060402848,9.84021969992934,0.413856645997121,0.413856645997121,7.013013215935947,7.013013215935947,8.109574507658886,-19.074636962142865,19.074636962142865,19.585400484136997,12.061623746206918,63.23383123959546
Addis_Ababa,mdl_3x,later_period,2023Q2,ftir_AnalysisDate,2023-11-28,1,5.11957947257968,5.11957947257968,0.409759055442694,0.409759055442694,6.5641710005194085,6.5641710005194085,6.5641710005194085,-4.146288294999998,4.146288294999998,4.146288294999998,-2.4178827055194105,-58.314389485051755
Addis_Ababa,mdl_3x,later_period,2023Q3,ftir_AnalysisDate,2023-11-28,13,3.96715229606112,9.71557571204205,0.409759055442694,0.431100672913667,2.2057399926520143,2.9463424455121126,3.4573167306061827,-10.594346192692315,11.544704692692314,13.539901862619136,8.598362247180201,74.47884095833895
Addis_Ababa,mdl_3x,later_period,2023Q3,ftir_AnalysisDate,2024-02-21,7,3.50194202698363,8.54710506277628,0.414270916914035,0.418459702727119,2.0979057469699307,2.877607373269559,3.8307230932737704,-8.511476615000005,8.511476615000005,10.105380577454744,5.633869241730446,66.1914435833816
Addis_Ababa,mdl_3x,later_period,2023Q3,ftir_AnalysisDate,2024-02-20,8,3.43937872823145,10.5333537907337,0.404947794517731,0.414270916914035,5.057467765056551,6.632593924172906,7.505718471154543,-3.761435485000005,9.155381539999999,12.21174549470443,2.5227876158270925,27.55524283510191
Addis_Ababa,mdl_3x,later_period,2023Q4,ftir_AnalysisDate,2024-02-20,8,2.23594182575397,4.14642906938964,0.404947794517731,0.419307645387154,0.3160978384786297,1.6723697545937704,2.3652642940449127,5.3227073575000015,5.3227073575000015,6.697756629605482,3.650337602906231,68.58046775317631
Addis_Ababa,mdl_3x,later_period,2023Q4,ftir_AnalysisDate,2024-04-19,14,2.47654432859347,3.97699446915086,0.409759055442694,0.414270916914035,1.3970781746184424,3.432467735715029,4.112832342227099,6.414089940714289,6.971944013571431,8.178087440970524,3.539476277856402,50.767422557704656
Addis_Ababa,mdl_3x,later_period,2023Q4,ftir_AnalysisDate,2024-07-24,4,2.90358905097997,3.66620421724724,0.409759055442694,0.409759055442694,1.3094143199805277,1.586549876997788,2.2789245939230836,6.2001981675000035,6.2001981675000035,6.803603594845425,4.613648290502216,74.41130373357882
Addis_Ababa,mdl_3x,later_period,2024Q1,ftir_AnalysisDate,2024-07-24,17,2.48704222244508,6.96258987683994,0.404947794517731,0.431325321518625,3.755642253919,4.931757554096723,6.18306486126563,3.3331937267647085,7.719721499117647,9.573365912440611,2.7879639450209233,36.11482545503207
Addis_Ababa,mdl_3x,later_period,2024Q1,ftir_AnalysisDate,2024-07-25,7,2.72681139406893,5.23333719462994,0.409759055442694,0.414270916914035,1.0239436264029587,3.8353928219046654,5.413935893552448,3.367300526428573,5.400843102142858,6.401564903108209,1.5654502802381924,28.985294529609252
Addis_Ababa,mdl_3x,later_period,2024Q1,ftir_AnalysisDate,2024-08-15,7,2.42463370413565,5.62476422114748,0.409759055442694,0.414270916914035,0.13699011557282045,1.8848589047654067,2.340292023865584,2.768447865000001,5.599319043571429,6.460137110489386,3.7144601388060217,66.33771195928885
Addis_Ababa,mdl_3x,later_period,2024Q2,ftir_AnalysisDate,2024-08-15,7,2.93608135081302,6.25503100441188,0.404947794517731,0.409759055442694,2.299360960175945,5.7663641470944125,6.191550625822074,-1.5388186285714258,6.840534582857144,8.469571885301406,1.0741704357627313,15.703018861342755
Addis_Ababa,mdl_3x,later_period,2024Q2,ftir_AnalysisDate,2024-11-07,7,3.91441145026595,6.85379189359859,0.409759055442694,0.409759055442694,-4.910663285535306,5.219593299784101,6.303524602864581,-10.141397217142854,10.141397217142854,12.30861110780742,4.921803917358753,48.53181284566011
Addis_Ababa,mdl_3x,later_period,2024Q2,ftir_AnalysisDate,2025-03-05,9,4.56833700824436,11.7351130556244,0.409759055442694,0.424033448767542,0.2691968097017323,2.2867290710550545,3.2353258448567033,-15.75126315333333,15.75126315333333,17.246744132545608,13.464534082278275,85.48224958979795
Addis_Ababa,mdl_3x,later_period,2024Q3,ftir_AnalysisDate,2025-03-05,19,3.43072578969257,11.136414801705,0.404947794517731,1.43700224304556,1.892561903944733,5.664238125907318,7.859825552923681,-10.248394838421058,12.031616664736847,15.694884734253044,6.367378538829529,52.92205292320785
Addis_Ababa,mdl_5x,leave_quarter_out,2022Q4,ftir_AnalysisDate,2023-03-27,7,2.54716121453745,4.44446651940708,0.464676223281463,0.477235040126908,-6.463224084027227,6.525341148781217,7.771093514193732,-0.22730356571428395,5.191398048571429,6.788784139432745,-1.3339431002097877,-25.695257572800887
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-04-10,7,2.42810461321138,4.42920671041816,0.470389455534924,0.476244925935773,-5.354288234716238,5.354288234716238,6.587567267886401,2.2822755371428545,5.489134559999997,5.963090160550188,0.1348463252837595,2.4566044758020937
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-04-11,1,2.42256663763913,2.42256663763913,0.481741981744056,0.481741981744056,-1.0264019908100366,1.0264019908100366,1.0264019908100366,9.272610359999995,9.272610359999995,9.272610359999995,8.246208369189958,88.93081935980283
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-07-13,13,2.31740999208569,5.1807562461787,0.449217327399301,0.454554562972362,-1.1744976137897871,4.347000551352819,5.318123476236978,3.924317946923073,5.725518463846153,7.441481947562519,1.3785179124933338,24.076735079940793
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q1,ftir_AnalysisDate,2023-08-10,1,6.63401511944448,6.63401511944448,0.409759055442694,0.409759055442694,-7.690252670114944,7.690252670114944,7.690252670114944,-14.703574920000001,14.703574920000001,14.703574920000001,7.013322249885057,47.69807538672409
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-10,6,2.7330819375566,4.13586201342062,0.409759055442694,0.409759055442694,-0.35788216647483867,1.9146680999605163,2.302769756656534,4.746747269999999,4.746747269999999,5.447002700308318,2.832079170039483,59.663576106917596
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-23,5,4.3354716491761,9.60062140677769,0.409759055442694,0.419307645387154,2.464077498858946,3.7735151855346216,4.900203490094682,-9.103424607,12.952627862999998,14.923973376629025,9.179112677465376,70.86679841768706
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-08-11,1,5.98240993054586,5.98240993054586,0.409759055442694,0.409759055442694,-10.174839698315253,10.174839698315253,10.174839698315253,-15.279525735,15.279525735,15.279525735,5.104686036684747,33.408668077908416
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-09-14,7,3.35205161380073,9.22076924427773,0.409759055442694,0.419307645387154,0.13418986387055298,2.039275301396183,2.7148741589908543,-1.758721982142859,4.349391866428571,6.671631391730751,2.3101165650323883,53.1135532501306
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-09-19,7,6.55506060402848,9.84021969992934,0.413856645997121,0.413856645997121,-2.897042777597555,3.2280426731829417,3.9832786038930665,-15.559801762142857,15.559801762142857,16.18189011715477,12.331759088959917,79.25396015624827
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q2,ftir_AnalysisDate,2023-11-28,1,5.11957947257968,5.11957947257968,0.409759055442694,0.409759055442694,1.0381607310622414,1.0381607310622414,1.0381607310622414,-0.6314530949999977,0.6314530949999977,0.6314530949999977,-0.4067076360622437,-64.4082100923498
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2023-11-28,13,3.96715229606112,9.71557571204205,0.409759055442694,0.431100672913667,0.8149597731771212,2.0893332362028803,2.8021584134366977,-10.33576820769231,11.365689164615388,13.338548483320297,9.276355928412507,81.61718831175176
Addis_Ababa,mdl_5x,leave_quarter_out,2023Q3,ftir_AnalysisDate,2024-02-21,7,3.50194202698363,8.54710506277628,0.414270916914035,0.418459702727119,0.7204567116552444,2.9057024964003912,3.270782638295855,-8.252898630000002,8.252898630000002,9.888570080884474,5.347196133599612,64.79173407222149
