claim_id,source_table,source_sha256,selector,column,value,calculation
cohort_Addis_Ababa,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Addis_Ababa""}",diagnostic_n,190,direct selected cell
ratio_Addis_Ababa,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Addis_Ababa""}",ratio_n,190,direct selected cell
mdl2_Addis_Ababa,data/stability/population_membership_summary.parquet,ecb717cb866688240c2ebb4ede5e8af242815d378a1142cb62a91dbd68b048dc,"{""site"": ""Addis_Ababa"", ""population"": ""mdl_2x"", ""variant"": ""baseline""}",,189,direct n
date_min_Addis_Ababa,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Addis_Ababa""}",diagnostic_date_min,2022-12-07 00:00:00,direct selected cell
date_max_Addis_Ababa,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Addis_Ababa""}",diagnostic_date_max,2024-09-21 00:00:00,direct selected cell
cohort_Beijing,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Beijing""}",diagnostic_n,163,direct selected cell
ratio_Beijing,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Beijing""}",ratio_n,150,direct selected cell
mdl2_Beijing,data/stability/population_membership_summary.parquet,ecb717cb866688240c2ebb4ede5e8af242815d378a1142cb62a91dbd68b048dc,"{""site"": ""Beijing"", ""population"": ""mdl_2x"", ""variant"": ""baseline""}",,113,direct n
date_min_Beijing,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Beijing""}",diagnostic_date_min,2022-07-05 00:00:00,direct selected cell
date_max_Beijing,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Beijing""}",diagnostic_date_max,2024-12-08 00:00:00,direct selected cell
cohort_Delhi,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Delhi""}",diagnostic_n,62,direct selected cell
ratio_Delhi,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Delhi""}",ratio_n,56,direct selected cell
mdl2_Delhi,data/stability/population_membership_summary.parquet,ecb717cb866688240c2ebb4ede5e8af242815d378a1142cb62a91dbd68b048dc,"{""site"": ""Delhi"", ""population"": ""mdl_2x"", ""variant"": ""baseline""}",,52,direct n
date_min_Delhi,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Delhi""}",diagnostic_date_min,2022-07-17 00:00:00,direct selected cell
date_max_Delhi,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""Delhi""}",diagnostic_date_max,2024-06-30 00:00:00,direct selected cell
cohort_JPL,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""JPL""}",diagnostic_n,130,direct selected cell
ratio_JPL,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""JPL""}",ratio_n,84,direct selected cell
mdl2_JPL,data/stability/population_membership_summary.parquet,ecb717cb866688240c2ebb4ede5e8af242815d378a1142cb62a91dbd68b048dc,"{""site"": ""JPL"", ""population"": ""mdl_2x"", ""variant"": ""baseline""}",,7,direct n
date_min_JPL,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""JPL""}",diagnostic_date_min,2022-07-22 00:00:00,direct selected cell
date_max_JPL,data/diagnostic/site_results.parquet,cd97a7d3a5ec1302e760193b9a56ff826bdda327cdae7cd7c7e16882f2757752,"{""site"": ""JPL""}",diagnostic_date_max,2023-11-14 00:00:00,direct selected cell
Addis_Ababa_leave_quarter_out_evaluated_filters,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",evaluated_filters,190,direct selected cell
Addis_Ababa_leave_quarter_out_evaluated_blocks,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",evaluated_blocks,8,direct selected cell
Addis_Ababa_leave_quarter_out_intercept_better_blocks,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",intercept_better_blocks,8,direct selected cell
Addis_Ababa_leave_quarter_out_median_mae,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",median_mae,8.887553851789475,direct selected cell
Addis_Ababa_leave_quarter_out_proportional_mae,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",proportional_mae,11.575796125661451,direct selected cell
Addis_Ababa_leave_quarter_out_ols_mae,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",ols_mae,3.938429208101232,direct selected cell
Addis_Ababa_leave_quarter_out_delta_mae_proportional_minus_ols,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",delta_mae_proportional_minus_ols,7.63736691756022,direct selected cell
Addis_Ababa_leave_quarter_out_ols_mean_signed_error,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_filter""}",ols_mean_signed_error,0.02469106255333712,direct selected cell
Addis_Ababa_leave_quarter_out_quarter_bias,data/proportionality/proportionality_summary.parquet,191447529d8d595291aa2a011fa06e707d2f33d571765970c7a6b2ad6d4577a0,"{""site"": ""Addis_Ababa"", ""population"": ""diagnostic"", ""scheme"": ""leave_quarter_out"", ""weighting"": ""equal_quarter""}",ols_mean_signed_error,-0.33331099002412823,direct selected cell
